Fluence to dose conversion factor calculated on a slab of Si with size 10x10x0.5 mm^3 for primary gamma
E [MeV]	c [microGy*cm^2]
90.6911	4.34484e-07
93.8782	4.5967e-07
97.1773	4.32691e-07
100.592	4.53717e-07
104.127	4.47476e-07
107.787	4.73199e-07
111.574	4.61838e-07
115.495	4.59032e-07
119.554	4.38929e-07
123.756	4.06676e-07
128.105	4.48693e-07
132.606	5.04903e-07
137.267	4.77967e-07
142.09	8.3534e-07
147.084	4.36538e-07
152.253	4.76329e-07
157.603	5.10235e-07
163.142	6.84739e-07
168.875	1.21548e-06
174.809	4.79898e-07
180.953	4.96007e-07
187.312	4.77034e-07
193.894	9.62466e-07
200.708	5.0644e-07
207.761	6.18139e-07
215.063	6.46424e-07
222.62	4.92203e-07
230.444	9.96237e-07
238.542	5.50138e-07
246.925	1.11726e-06
255.602	9.041e-07
264.585	6.31039e-07
273.883	4.99966e-07
283.508	1.12902e-06
293.471	5.52026e-07
303.784	1.03697e-06
314.46	1.0195e-06
325.51	7.9199e-07
336.949	1.26566e-06
348.791	5.81098e-07
361.048	7.73465e-07
373.736	7.82021e-07
386.87	6.08463e-07
400.465	1.0191e-06
414.538	5.78786e-07
429.106	1.60895e-06
444.186	1.29626e-06
459.796	8.41549e-07
475.954	5.09089e-07
492.68	5.23633e-07
509.994	9.79456e-07
527.916	5.70388e-07
546.468	1.48636e-06
565.672	1.26396e-06
585.551	1.25118e-06
606.129	5.30687e-07
627.429	6.37428e-07
649.478	6.53291e-07
672.303	7.82196e-07
695.929	5.75244e-07
720.385	6.41441e-07
745.701	8.75286e-07
771.907	1.17304e-06
799.033	5.43067e-07
827.113	8.02743e-07
856.179	7.69094e-07
886.267	5.73475e-07
917.413	1.30873e-06
949.653	1.17347e-06
983.025	5.72842e-07
1017.57	1.2177e-06
1053.33	5.7545e-07
1090.35	5.97373e-07
1128.66	6.72388e-07
1168.33	7.60204e-07
1209.39	7.54238e-07
1251.89	6.87751e-07
1295.88	8.61902e-07
1341.42	7.93807e-07
1388.56	1.06967e-06
1437.36	5.98541e-07
1487.87	6.77511e-07
1540.16	5.74615e-07
1594.28	8.8198e-07
1650.31	6.09029e-07
1708.3	7.20185e-07
1768.34	5.78185e-07
1830.48	1.07999e-06
1894.81	1.02808e-06
1961.39	1.39673e-06
2030.32	7.09642e-07
2101.67	6.08577e-07
2175.53	6.65957e-07
2251.98	5.96928e-07
2331.12	9.55384e-07
2413.04	1.52821e-06
2497.84	1.57243e-06
2585.62	6.32365e-07
2676.48	1.43173e-06
2770.54	6.09642e-07
2867.9	6.85503e-07
2968.69	1.68637e-06
3073.02	5.6465e-07
3181.01	5.94534e-07
3292.8	5.95786e-07
3408.51	5.37507e-07
3528.29	5.96355e-07
3652.29	5.60594e-07
3780.64	5.96171e-07
3913.49	6.49802e-07
4051.02	6.16765e-07
4193.39	5.4997e-07
4340.75	6.22956e-07
4493.29	5.78537e-07
4651.2	6.26418e-07
4814.65	5.70321e-07
4983.85	6.0915e-07
5158.99	6.01251e-07
5340.29	5.71292e-07
5527.96	5.23434e-07
5722.22	6.12093e-07
5923.31	5.56557e-07
6131.47	6.45172e-07
6346.95	6.45994e-07
6569.99	6.0833e-07
6800.87	6.68704e-07
7039.87	6.2276e-07
7287.27	5.69384e-07
7543.36	5.80998e-07
7808.45	5.77834e-07
8082.85	6.21102e-07
8366.9	5.67708e-07
8660.93	5.88812e-07
8965.3	6.33747e-07
9280.36	6.34641e-07
9606.49	5.68626e-07
9944.08	5.81756e-07
10293.5	6.95055e-07
10655.3	6.41128e-07
11029.7	6.52548e-07
11417.3	6.05491e-07
11818.6	6.16131e-07
12233.9	6.33455e-07
12663.8	6.33268e-07
13108.9	5.96035e-07
13569.5	5.55346e-07
14046.4	6.00987e-07
14540	5.98645e-07
15051	6.04103e-07
15579.9	6.17734e-07
16127.4	5.78487e-07
16694.2	5.7779e-07
17280.8	5.90374e-07
17888.1	5.52727e-07
18516.7	5.83493e-07
19167.5	5.49394e-07
19841.1	5.83752e-07
20538.3	6.04362e-07
21260.1	6.17291e-07
22007.2	6.85613e-07
22780.6	5.78603e-07
23581.1	6.03605e-07
24409.8	5.83252e-07
25267.6	5.91692e-07
26155.6	6.42213e-07
27074.8	6.16966e-07
28026.2	5.89799e-07
29011.1	5.741e-07
30030.7	5.92202e-07
31086	6.32387e-07
32178.4	6.15499e-07
33309.2	6.58675e-07
34479.8	6.4553e-07
35691.5	5.62206e-07
36945.8	6.15277e-07
38244.1	5.22146e-07
39588.1	5.91041e-07
40979.3	6.10476e-07
42419.4	5.97284e-07
43910.1	6.01362e-07
45453.2	5.41885e-07
47050.6	6.6582e-07
48704	6.14968e-07
