Fluence to dose conversion factor calculated on a slab of Tissue with size 10x10x0.5 mm^3 for primary gamma
E [MeV]	c [microGy*cm^2]
11029.7	1.68997e-07
11417.3	2.03834e-07
11818.6	1.83095e-07
12233.9	1.5932e-07
12663.8	1.80216e-07
13108.9	1.83889e-07
13569.5	1.53194e-07
14046.4	1.83361e-07
14540	1.67553e-07
15051	1.7309e-07
15579.9	1.37288e-07
16127.4	1.70066e-07
16694.2	1.77399e-07
17280.8	1.53932e-07
17888.1	1.7465e-07
18516.7	1.8673e-07
19167.5	1.9761e-07
19841.1	1.67021e-07
20538.3	1.79262e-07
21260.1	1.66475e-07
22007.2	1.60706e-07
22780.6	1.88288e-07
23581.1	1.58012e-07
24409.8	1.63522e-07
25267.6	1.53795e-07
26155.6	1.86676e-07
27074.8	1.80772e-07
28026.2	1.79735e-07
29011.1	1.70746e-07
30030.7	1.62837e-07
31086	2.034e-07
32178.4	1.72231e-07
33309.2	1.38991e-07
34479.8	1.58191e-07
35691.5	1.79306e-07
36945.8	1.96665e-07
38244.1	1.52985e-07
39588.1	1.80629e-07
40979.3	1.76539e-07
42419.4	1.71151e-07
43910.1	1.38556e-07
45453.2	1.57387e-07
47050.6	1.50322e-07
48704	1.61332e-07
50415.6	1.4268e-07
52187.3	1.66966e-07
54021.3	1.6889e-07
55919.7	2.11817e-07
57884.8	1.38233e-07
59919	1.53668e-07
62024.7	2.01989e-07
64204.4	1.57226e-07
66460.7	1.82956e-07
68796.2	1.50813e-07
71213.9	1.81245e-07
73716.5	1.65396e-07
76307.1	1.61942e-07
78988.7	1.98808e-07
81764.5	1.82886e-07
84637.9	1.45522e-07
87612.2	1.72503e-07
90691.1	2.50124e-07
93878.2	1.41057e-07
97177.3	1.88903e-07
100592	2.02574e-07
104127	1.53367e-07
107787	1.5868e-07
111574	1.63902e-07
115495	1.94042e-07
119554	1.65227e-07
123756	1.68207e-07
128105	1.62757e-07
132606	1.64696e-07
137267	2.02409e-07
142090	1.4811e-07
147084	1.63846e-07
152253	1.74593e-07
157603	1.68423e-07
163142	1.57585e-07
168875	1.64116e-07
174809	2.03443e-07
180953	1.80205e-07
187312	1.79148e-07
193894	1.91032e-07
200708	1.60408e-07
207761	1.91293e-07
215063	1.67156e-07
222620	1.79683e-07
230444	1.6494e-07
238542	1.89021e-07
246925	1.84581e-07
255602	1.69165e-07
264585	1.60652e-07
273883	1.60503e-07
283508	1.93639e-07
293471	1.67173e-07
303784	2.03968e-07
314460	2.33237e-07
325510	1.92842e-07
336949	1.90691e-07
348791	1.81153e-07
361048	1.83388e-07
373736	2.04918e-07
386870	1.81729e-07
400465	1.73373e-07
414538	1.3777e-07
429106	1.54527e-07
444186	2.10198e-07
459796	1.726e-07
475954	1.62023e-07
492680	1.775e-07
509994	1.66313e-07
527916	1.3058e-07
546468	1.99342e-07
565672	1.64014e-07
585551	1.7917e-07
606129	1.65196e-07
627429	1.24048e-07
649478	2.05827e-07
672303	2.10373e-07
695929	1.97054e-07
720385	1.75244e-07
745701	1.82823e-07
771907	1.8354e-07
799033	1.70416e-07
827113	1.84093e-07
856179	1.67886e-07
886267	2.01948e-07
917413	2.43607e-07
949653	1.47097e-07
983025	1.6857e-07
